qid,dataset,question,failure_label,secondary_failure_label,rewrite_type,query
korquad1_dev_q_000648,korquad1,한남대교가 만들어진 해는?,missing_key_term,,original,한남대교가 만들어진 해는?
korquad1_dev_q_000648,korquad1,한남대교가 만들어진 해는?,missing_key_term,,keyword_rewrite,한남대교 만들어진 해는 정답 정보
korquad1_dev_q_000648,korquad1,한남대교가 만들어진 해는?,missing_key_term,,semantic_rewrite,한남대교 만들어진 해는와 관련해 필요한 정보인 정답 정보를 명확히 묻는 질문
korquad1_dev_q_000648,korquad1,한남대교가 만들어진 해는?,missing_key_term,,structured_rewrite,대상: 한남대교 만들어진 해는 / 필요한 정보: 정답 정보 / 조건: 질문에 드러난 핵심 단서
korquad1_dev_q_000648,korquad1,한남대교가 만들어진 해는?,missing_key_term,,llm_rewrite,한남대교 만들어진 해는의 정답 정보가 드러나는 문서를 찾기 위한 구체적인 검색 질의
korquad1_dev_q_000656,korquad1,한국에서 가장 오래된 아파트는?,missing_key_term,,original,한국에서 가장 오래된 아파트는?
korquad1_dev_q_000656,korquad1,한국에서 가장 오래된 아파트는?,missing_key_term,,keyword_rewrite,오래된 아파트 한국 가장 정답 정보
korquad1_dev_q_000656,korquad1,한국에서 가장 오래된 아파트는?,missing_key_term,,semantic_rewrite,오래된 아파트 한국와 관련해 필요한 정보인 정답 정보를 명확히 묻는 질문
korquad1_dev_q_000656,korquad1,한국에서 가장 오래된 아파트는?,missing_key_term,,structured_rewrite,대상: 오래된 아파트 한국 / 필요한 정보: 정답 정보 / 조건: 질문에 드러난 핵심 단서
korquad1_dev_q_000656,korquad1,한국에서 가장 오래된 아파트는?,missing_key_term,,llm_rewrite,오래된 아파트 한국의 정답 정보가 드러나는 문서를 찾기 위한 구체적인 검색 질의
korquad1_dev_q_000694,korquad1,"워싱턴 주, 벨뷰에서 행사를 개최한 이유는?",question_type_mismatch,,original,"워싱턴 주, 벨뷰에서 행사를 개최한 이유는?"
korquad1_dev_q_000694,korquad1,"워싱턴 주, 벨뷰에서 행사를 개최한 이유는?",question_type_mismatch,,keyword_rewrite,워싱턴 개최한 벨뷰 행사 이유 원인 목적
korquad1_dev_q_000694,korquad1,"워싱턴 주, 벨뷰에서 행사를 개최한 이유는?",question_type_mismatch,,semantic_rewrite,워싱턴 개최한 벨뷰에 대해 이유 원인 목적를 설명하는 부분은 무엇인가?
korquad1_dev_q_000694,korquad1,"워싱턴 주, 벨뷰에서 행사를 개최한 이유는?",question_type_mismatch,,structured_rewrite,대상: 워싱턴 개최한 벨뷰 / 질문유형: 이유 원인 목적 / 요구정보: 이유·원인
korquad1_dev_q_000694,korquad1,"워싱턴 주, 벨뷰에서 행사를 개최한 이유는?",question_type_mismatch,,llm_rewrite,워싱턴 개최한 벨뷰의 이유 원인 목적 설명을 찾기 위한 자연스러운 검색 질의
korquad1_dev_q_001446,korquad1,정도전이 은둔생활을 하게된 계기가 된 인물의 이름은 무엇인가?,lexical_mismatch,,original,정도전이 은둔생활을 하게된 계기가 된 인물의 이름은 무엇인가?
korquad1_dev_q_001446,korquad1,정도전이 은둔생활을 하게된 계기가 된 인물의 이름은 무엇인가?,lexical_mismatch,,keyword_rewrite,은둔생활 정도전 하게된 무엇인 계기 인물 이름
korquad1_dev_q_001446,korquad1,정도전이 은둔생활을 하게된 계기가 된 인물의 이름은 무엇인가?,lexical_mismatch,,semantic_rewrite,은둔생활 정도전 하게된에 대해 이유·원인를 찾는 질문
korquad1_dev_q_001446,korquad1,정도전이 은둔생활을 하게된 계기가 된 인물의 이름은 무엇인가?,lexical_mismatch,,structured_rewrite,대상: 은둔생활 정도전 하게된 / 속성: 이유·원인 / 질문유형: 인물·주체
korquad1_dev_q_001446,korquad1,정도전이 은둔생활을 하게된 계기가 된 인물의 이름은 무엇인가?,lexical_mismatch,,llm_rewrite,은둔생활 정도전 하게된 관련 문서에서 이유·원인를 찾기 위한 자연어 검색 질의
korquad1_dev_q_001448,korquad1,정도전이 관직에 나간 년도는?,missing_key_term,,original,정도전이 관직에 나간 년도는?
korquad1_dev_q_001448,korquad1,정도전이 관직에 나간 년도는?,missing_key_term,,keyword_rewrite,정도전 관직 나간 년도 숫자·연도 정보
korquad1_dev_q_001448,korquad1,정도전이 관직에 나간 년도는?,missing_key_term,,semantic_rewrite,정도전 관직 나간와 관련해 필요한 정보인 숫자·연도 정보를 명확히 묻는 질문
korquad1_dev_q_001448,korquad1,정도전이 관직에 나간 년도는?,missing_key_term,,structured_rewrite,대상: 정도전 관직 나간 / 필요한 정보: 숫자·연도 정보 / 조건: 질문에 드러난 핵심 단서
korquad1_dev_q_001448,korquad1,정도전이 관직에 나간 년도는?,missing_key_term,,llm_rewrite,정도전 관직 나간의 숫자·연도 정보가 드러나는 문서를 찾기 위한 구체적인 검색 질의
korquad1_dev_q_001523,korquad1,용감한 형제 1집에서 2번 트랙은 일렉트로보이즈와 누가 같이 불렀나?,numeric_temporal_mismatch,,original,용감한 형제 1집에서 2번 트랙은 일렉트로보이즈와 누가 같이 불렀나?
korquad1_dev_q_001523,korquad1,용감한 형제 1집에서 2번 트랙은 일렉트로보이즈와 누가 같이 불렀나?,numeric_temporal_mismatch,,keyword_rewrite,일렉트로보이즈 용감한 불렀나 형제 1집 2번 트랙 누가
korquad1_dev_q_001523,korquad1,용감한 형제 1집에서 2번 트랙은 일렉트로보이즈와 누가 같이 불렀나?,numeric_temporal_mismatch,,semantic_rewrite,일렉트로보이즈 용감한 불렀나에 대한 1집 2번 일렉트로보이즈 정보는 무엇인가?
korquad1_dev_q_001523,korquad1,용감한 형제 1집에서 2번 트랙은 일렉트로보이즈와 누가 같이 불렀나?,numeric_temporal_mismatch,,structured_rewrite,대상: 일렉트로보이즈 용감한 불렀나 / 요구정보: 정답 정보 / 숫자·시간 조건: 1집 2번 일렉트로보이즈
korquad1_dev_q_001523,korquad1,용감한 형제 1집에서 2번 트랙은 일렉트로보이즈와 누가 같이 불렀나?,numeric_temporal_mismatch,,llm_rewrite,일렉트로보이즈 용감한 불렀나에서 특정 숫자나 시간 조건에 해당하는 정답 정보를 찾는 검색 질의
korquad1_dev_q_001524,korquad1,용감한  형제 1집의 4번 트랙 노래 제목은?,numeric_temporal_mismatch,,original,용감한  형제 1집의 4번 트랙 노래 제목은?
korquad1_dev_q_001524,korquad1,용감한  형제 1집의 4번 트랙 노래 제목은?,numeric_temporal_mismatch,,keyword_rewrite,용감한 형제 1집 4번 트랙 노래 제목
korquad1_dev_q_001524,korquad1,용감한  형제 1집의 4번 트랙 노래 제목은?,numeric_temporal_mismatch,,semantic_rewrite,용감한 형제 1집에 대한 1집 4번 정보는 무엇인가?
