failure_type,retriever,strategy,recall@10,mrr,answer_f1,reward,num_records
compound_noun,bm25,expanded,1.0,1.0,1.0,1.9,1
compound_noun,bm25,keyword,1.0,1.0,1.0,1.94,1
compound_noun,bm25,llm,1.0,0.25,1.0,1.545,1
compound_noun,bm25,original,1.0,1.0,1.0,2.0,1
compound_noun,bm25,prompt,1.0,1.0,1.0,1.92,1
compound_noun,bm25,structured,1.0,1.0,1.0,1.76,1
compound_noun,dense,expanded,0.0,0.0,0.0,-0.1,1
compound_noun,dense,keyword,0.0,0.0,0.0,-0.06000000000000001,1
compound_noun,dense,llm,0.0,0.0,0.0,-0.08000000000000002,1
compound_noun,dense,original,0.0,0.0,0.0,0.0,1
compound_noun,dense,prompt,0.0,0.0,0.0,-0.08,1
compound_noun,dense,structured,0.0,0.0,0.0,-0.24,1
compound_noun,hybrid,expanded,1.0,1.0,1.0,1.9,1
compound_noun,hybrid,keyword,1.0,1.0,1.0,1.94,1
compound_noun,hybrid,llm,1.0,0.25,1.0,1.545,1
compound_noun,hybrid,original,1.0,1.0,1.0,2.0,1
compound_noun,hybrid,prompt,1.0,1.0,1.0,1.92,1
compound_noun,hybrid,structured,1.0,1.0,1.0,1.76,1
ellipsis,bm25,expanded,0.35294117647058826,0.2178921568627451,0.6176470588235294,0.7707107843137254,34
ellipsis,bm25,keyword,0.3235294117647059,0.20318627450980392,0.5882352941176471,0.6893382352941176,34
ellipsis,bm25,llm,0.4117647058823529,0.2186624649859944,0.6176470588235294,0.7451155462184874,34
ellipsis,bm25,original,0.3235294117647059,0.1875,0.5882352941176471,0.7113970588235294,34
ellipsis,bm25,prompt,0.23529411764705882,0.17009803921568628,0.47058823529411764,0.5556372549019608,34
ellipsis,bm25,structured,0.29411764705882354,0.1519607843137255,0.5588235294117647,0.6142156862745098,34
ellipsis,dense,expanded,0.5,0.28740662931839406,0.5600186856920987,0.9237126575052463,34
ellipsis,dense,keyword,0.5294117647058824,0.24975490196078431,0.5893112166126293,0.9190428632082754,34
ellipsis,dense,llm,0.47058823529411764,0.2295518207282913,0.5886984715145901,0.7949094598469308,34
ellipsis,dense,original,0.47058823529411764,0.2756535947712418,0.5893112166126293,0.9030706409860533,34
ellipsis,dense,prompt,0.5,0.25403828197945844,0.6182294700058241,0.9361338759926412,34
ellipsis,dense,structured,0.5,0.2126984126984127,0.5882352941176471,0.865172735760971,34
ellipsis,hybrid,expanded,0.6764705882352942,0.279890289449113,0.8241421568627451,1.228486811391223,34
ellipsis,hybrid,keyword,0.5,0.20881185807656397,0.736370040142041,0.9426889883249887,34
ellipsis,hybrid,llm,0.5294117647058824,0.22780112044817927,0.7063455303381195,0.9116811685304043,34
